timestamp,name,index,level,id,animation_id,animation_frame,health_percent,overhead_player
0,Tz-Kih,0,22,3116,-1,0,-1,None
15,Tz-Kih,0,22,3116,-1,0,-1,None
70,Tz-Kih,0,22,3116,-1,0,-1,None
118,Tz-Kih,0,22,3116,-1,0,-1,None
170,Tz-Kih,0,22,3116,-1,0,-1,None
226,Tz-Kih,0,22,3116,-1,0,-1,None
271,Tz-Kih,0,22,3116,-1,0,-1,None
326,Tz-Kih,0,22,3116,-1,0,-1,None
381,Tz-Kih,0,22,3116,-1,0,-1,None
428,Tz-Kih,0,22,3116,-1,0,-1,None
481,Tz-Kih,0,22,3116,-1,0,-1,None
533,Tz-Kih,0,22,3116,-1,0,-1,None
580,Tz-Kih,0,22,3116,-1,0,-1,None
636,Tz-Kih,0,22,3116,-1,0,-1,None
682,Tz-Kih,0,22,3116,-1,0,-1,None
738,Tz-Kih,0,22,3116,-1,0,-1,None
788,Tz-Kih,0,22,3116,-1,0,-1,None
837,Tz-Kih,0,22,3116,-1,0,-1,None
893,Tz-Kih,0,22,3116,-1,0,-1,None
938,Tz-Kih,0,22,3116,-1,0,-1,None
987,Tz-Kih,0,22,3116,-1,0,-1,None
1039,Tz-Kih,0,22,3116,-1,0,-1,None
1092,Tz-Kih,0,22,3116,-1,0,-1,None
1142,Tz-Kih,0,22,3116,-1,0,-1,None
1192,Tz-Kih,0,22,3116,-1,0,-1,None
1243,Tz-Kih,0,22,3116,-1,0,-1,None
1296,Tz-Kih,0,22,3116,-1,0,-1,None
1347,Tz-Kih,0,22,3116,-1,0,-1,None
1399,Tz-Kih,0,22,3116,-1,0,-1,None
1448,Tz-Kih,0,22,3116,-1,0,-1,None
1497,Tz-Kih,0,22,3116,-1,0,-1,None
1550,Tz-Kih,0,22,3116,-1,0,-1,None
1600,Tz-Kih,0,22,3116,-1,0,-1,None
1653,Tz-Kih,0,22,3116,-1,0,-1,None
1712,Tz-Kih,0,22,3116,-1,0,-1,None
1757,Tz-Kih,0,22,3116,-1,0,-1,None
1806,Tz-Kih,0,22,3116,-1,0,-1,None
1855,Tz-Kih,0,22,3116,-1,0,-1,None
1905,Tz-Kih,0,22,3116,-1,0,-1,None
1956,Tz-Kih,0,22,3116,-1,0,-1,None
2007,Tz-Kih,0,22,3116,-1,0,-1,None
2061,Tz-Kih,0,22,3116,-1,0,-1,None
2112,Tz-Kih,0,22,3116,-1,0,-1,None
2159,Tz-Kih,0,22,3116,-1,0,-1,None
2216,Tz-Kih,0,22,3116,-1,0,-1,None
2269,Tz-Kih,0,22,3116,-1,0,-1,None
2316,Tz-Kih,0,22,3116,-1,0,-1,None
2368,Tz-Kih,0,22,3116,-1,0,-1,None
2424,Tz-Kih,0,22,3116,-1,0,-1,None
2471,Tz-Kih,0,22,3116,-1,0,-1,None
2517,Tz-Kih,0,22,3116,-1,0,-1,None
2576,Tz-Kih,0,22,3116,-1,0,-1,None
2620,Tz-Kih,0,22,3116,-1,0,-1,None
2671,Tz-Kih,0,22,3116,-1,0,-1,None
2731,Tz-Kih,0,22,3116,-1,0,-1,None
2776,Tz-Kih,0,22,3116,-1,0,-1,None
